,puuid,gameList
0,40dQ2w-tDOMNltTKha6UgUdmsVc8qEFpPj1jLrdQSxVsYxhAJX_ETLfcAR1Ks8-q9VHuQkae2Zu1ew,"['NA1_4328080251', 'NA1_4328055408', 'NA1_4328030973', 'NA1_4327996951', 'NA1_4327993102', 'NA1_4327948324', 'NA1_4327842019', 'NA1_4327828499', 'NA1_4327793321', 'NA1_4327768654']"
1,mucQkNYTetfu6klrAhItIdCe90Eq3E-gpN455SdY4_a1n_fG001dtxM-HkvZbIUsZ425eIaZ3lSZiQ,"['NA1_4333783742', 'NA1_4333648953', 'NA1_4333614088', 'NA1_4333509411', 'NA1_4333494775', 'NA1_4302461877', 'NA1_4302247588', 'NA1_4302232669', 'NA1_4300279830', 'NA1_4300246914']"
2,28j37ppCOCEMN5gQDPl7FT6SfmauAcSBJd1M8SdCnB7C1fPG5xu0XiigLfO--qG1ni9GAKDulQnBtw,"['NA1_4332687340', 'NA1_4332703354', 'NA1_4332670731', 'NA1_4331926084', 'NA1_4331922483', 'NA1_4331847914', 'NA1_4331755812', 'NA1_4331743385', 'NA1_4331699560', 'NA1_4331667367']"
3,OaYSVwXcsO-_OXocRCv_r64Emcl4LpAULE-0Dw3nE7mH0P4HjTD4U_1bE6rVndT6kuPtCsbDQGcjOw,"['NA1_4334305363', 'NA1_4334161052', 'NA1_4334101914', 'NA1_4333869585', 'NA1_4333000357', 'NA1_4332925936', 'NA1_4332825285', 'NA1_4332748070', 'NA1_4332140275', 'NA1_4332102631']"
4,mq2fk-Jz_EpKdqkHcK6WHLO0oUj09qliVGjgzUkrrYYftiKjMfWuPOvRhpUfaQNK0XjQ2NnUiwb0fw,"['NA1_4278015949', 'NA1_4272997268', 'NA1_4264791385', 'NA1_4264719194', 'NA1_4264736726', 'NA1_4263533443', 'NA1_4263540361', 'NA1_4263477492', 'NA1_4216539377', 'NA1_4216554676']"
5,O7U1ehGuhk6redqzXuVTIfAEyqP-vv11mbKzsb_wIRJx0RnqOO4dQaTMIKsbILQQrpQZ1JUvon-puw,"['NA1_4247216872', 'NA1_4247162189', 'NA1_4247126175', 'NA1_4224206669', 'NA1_4223874586', 'NA1_4223861420', 'NA1_4223779259', 'NA1_4223771933', 'NA1_4223705951', 'NA1_4217295433']"
6,4DKWQ6q_aJ5V3qCyN_OObnu-70LRX87oGby94_Jp7c9E0mjovp4fnRRKNtsFNTKOWQiaSp4ZwYsjBQ,"['NA1_4334318878', 'NA1_4334286783', 'NA1_4334283367', 'NA1_4334249427', 'NA1_4334237241', 'NA1_4334253409', 'NA1_4334210545', 'NA1_4333984088', 'NA1_4333899367', 'NA1_4333855783']"
7,EI7KXjzPLw9w9wCYEnN9HTjnLIk0F3xigecXt1USC9T1EZw-MtkQA_snwOXgJ7eA214A_ShcdNeuUg,"['NA1_4329464671', 'NA1_4329482015', 'NA1_4323469610', 'NA1_4323472543', 'NA1_4323078335', 'NA1_4322169056', 'NA1_4322135291', 'NA1_4322107392', 'NA1_4321892274', 'NA1_4321858214']"
8,MeYnz9I0prQTCwkx2Q7HytponR8hKqxYGTwTpej7BqBxuIQh4plWFPz_fhwiI3E_hOJm7ClraVI4sA,"['NA1_4333971962', 'NA1_4333944015', 'NA1_4333878319', 'NA1_4333639231', 'NA1_4333654316', 'NA1_4332877684', 'NA1_4332102343', 'NA1_4332065988', 'NA1_4331062872', 'NA1_4331025998']"
9,SI1rD5Ub0qRMpd2nQi4Oaq-eJ405k1xB0IxmtNmh4zBo6N1zEL5I2vkvqgaS_xqkLupayZwwh44stw,"['NA1_4309040598', 'NA1_4309014403', 'NA1_4308969779', 'NA1_4308925590', 'NA1_4308817519', 'NA1_4308822230', 'NA1_4308764020', 'NA1_4308210944', 'NA1_4308183109', 'NA1_4308104639']"
