,Tier,Div,puuid,summonerId
0,BRONZE,I,40dQ2w-tDOMNltTKha6UgUdmsVc8qEFpPj1jLrdQSxVsYxhAJX_ETLfcAR1Ks8-q9VHuQkae2Zu1ew,3K0te-TylF39SMafnLjsxUpKrEAAPdDNunTFgpKnPq_Ak2gL
1,BRONZE,I,mucQkNYTetfu6klrAhItIdCe90Eq3E-gpN455SdY4_a1n_fG001dtxM-HkvZbIUsZ425eIaZ3lSZiQ,8K63u2gWL7dsaEjJCfjcbNqNFJJaIPWmSSZJHehbcKAb35DT
2,BRONZE,I,28j37ppCOCEMN5gQDPl7FT6SfmauAcSBJd1M8SdCnB7C1fPG5xu0XiigLfO--qG1ni9GAKDulQnBtw,X4L102ZC6V80KNTF0CiKZbfHL9SB_XlXlGvyLUre6H5zKksv
3,BRONZE,I,OaYSVwXcsO-_OXocRCv_r64Emcl4LpAULE-0Dw3nE7mH0P4HjTD4U_1bE6rVndT6kuPtCsbDQGcjOw,O897c-GpQm5Eh7ix_ES7cyQsfevzF4swcbWTvyCxZUSQB2M7
4,BRONZE,I,mq2fk-Jz_EpKdqkHcK6WHLO0oUj09qliVGjgzUkrrYYftiKjMfWuPOvRhpUfaQNK0XjQ2NnUiwb0fw,NvvTCgn97werEWpWBZY9pd081sIaq0lLy-HrBIc-ccj2plyu
5,BRONZE,I,O7U1ehGuhk6redqzXuVTIfAEyqP-vv11mbKzsb_wIRJx0RnqOO4dQaTMIKsbILQQrpQZ1JUvon-puw,1ZnorNi2mZxQjiIfcWhabxl6ojxsH9mTAvKCHkCb1THB8jPh
6,BRONZE,I,4DKWQ6q_aJ5V3qCyN_OObnu-70LRX87oGby94_Jp7c9E0mjovp4fnRRKNtsFNTKOWQiaSp4ZwYsjBQ,PE8To2uSRi6FtXwrrMKlZmGpIZXIu0euZnnel4q3M4zJ6E6j
7,BRONZE,I,EI7KXjzPLw9w9wCYEnN9HTjnLIk0F3xigecXt1USC9T1EZw-MtkQA_snwOXgJ7eA214A_ShcdNeuUg,Y39RWfEm_hc6Azh4bGQkfCA-ITw_ZMSGJDEwmVa-D1yYfJXu
8,BRONZE,I,MeYnz9I0prQTCwkx2Q7HytponR8hKqxYGTwTpej7BqBxuIQh4plWFPz_fhwiI3E_hOJm7ClraVI4sA,TrSdpMUAn6Z6QjQWAipqu-rAQYNlxg_1bXHGvs7HKxo0oUqC
9,BRONZE,I,SI1rD5Ub0qRMpd2nQi4Oaq-eJ405k1xB0IxmtNmh4zBo6N1zEL5I2vkvqgaS_xqkLupayZwwh44stw,UKZCppk2Ra46etmh8SJcEoyvrOdMiWjDUMBme-0xHXaclZSG
10,BRONZE,I,D5stgWhUphKxlYH9CvXe5lZcbAkSj78_1D2awlTEXLdsUTfP8ZdrQ_poqKGRph59sT9XOGJ9YFv9uw,ZrkVqy8-H6Rp6PrYLirdSXUJifVYmk-XcgjwsFhCk6RptIgd
11,BRONZE,I,WVrFpi7WfGcRMs5QbkEWaNbyicwbpfyN5JncLIMeGgVZwoIhuWujVRLkeMLX-nLepOoxFTrCT67eKg,5CjtqscJi2PR34bh3Wg6WNJ7lJtNvJwVDkCY82LdW-sUR4Lg
12,BRONZE,I,ak3Pv0SdRg0yClelPa2e3cokkpWnWdsq3m5pLlo6xz0Bqnr7MxGzjpeQpTDtbaH9jsr744B9lRfb4g,T-LamVR0mvR6k7_DXmikqpzLCsLItTlgwlpj9LJSkLqFZbaz
13,BRONZE,I,jd7HAmQaNVjR7nK0cSAX3z-uVEeGVaeBjsIHhqjQdgQCOw21ZMHBRO7tt3GwFSm4FkATOP2b1si6ag,CqvwN5AK_f_cFJCD2AVIe4kBqmbDf8F4EgxzV5Ep_mIdoDUi
14,BRONZE,I,NFuOv0HZLBWY-h7m3PvzzTUFZQhKrAlwB_miR9Q6oCmTnTmoOruy8FHFEU7STtImd3pJDRD3JSW1IQ,Lrh5EwYIo41JX-oD1pe8xkfu7QX5wpcWJSkGjgsMDjko6S_3
15,BRONZE,I,Zok7w1LStUnnnR0e24PwhELz25esr-Ji9-AoVMQ75M4ZUWbHVy-ZiFASZ4jXSRxQv3v3KM-UCoSZMg,00oepRswZ_Pa0S0lBnU8-_DUMrXtiSjS5F-9xpVIelR7eaW-
16,BRONZE,I,j3K1kTgcUBXTJ7P0e50pVrdIPKPus51vZbfdcTTgsTMTnsS0bGW6oq67od6tOBut3p2H9koWbIRXJw,ZRlatDnpXcRywoTOLVLcHPAkY3s-dxssILZQDq0W51b9yOgs
17,BRONZE,I,Y5ZRPRFvkQwtpGAjN3NJNAqKG49rvN9CLBaQsFDFmuPo8HhxN6ZzD9QWfxpboPTarKsHtiKC_km0tg,aIQptKOw8vr8YHNwTflkYHXoFN3USoAKS5h-1EaJTe8RXZ7i
18,BRONZE,I,fzmtNyHMmFbtcvShxNhEf7yANedE-kAQBPrWT53J8wwPGzSFe3XecLAQIAFkWg49NJPQEncwAMP8sg,LdaGRuz0RMytc89TOkYcf1BuugFZ_dQl_n9iUtMJKKaJCTUD
19,BRONZE,I,RdWODmLVTQJ4CRXbZKn0iYaztB0y0Vse7USw2TtIJaKOFYGGmhg8mH_Oeqmziq1vnLXWfpIyx6g4uw,nZDDtSM18QqGVSJT_cgSYeWvUtM9c4C5o9z1ca-m2f1FppiQ
20,BRONZE,I,hSpL2SrxlO4Qux2n84sOGzRyho3-AN3nMvI4WqpxrjMtpCMJHSlEB71fARfUotJ9-ShCYCB16Wh5DA,8ujf8XURM0sl89EmaVyOm15D5NDetcYpM6IkbMMZom8s7YbX
