,assists,baronKills,bountyLevel,challenges,champExperience,champLevel,championId,championName,championTransform,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,detectorWardsPlaced,doubleKills,dragonKills,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,gameEndedInEarlySurrender,gameEndedInSurrender,goldEarned,goldSpent,individualPosition,inhibitorKills,inhibitorTakedowns,inhibitorsLost,item0,item1,item2,item3,item4,item5,item6,itemsPurchased,killingSprees,kills,lane,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,nexusKills,nexusLost,nexusTakedowns,objectivesStolen,objectivesStolenAssists,participantId,pentaKills,perks,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,profileIcon,puuid,quadraKills,riotIdName,riotIdTagline,role,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,summonerId,summonerLevel,summonerName,teamEarlySurrendered,teamId,teamPosition,timeCCingOthers,timePlayed,totalDamageDealt,totalDamageDealtToChampions,totalDamageShieldedOnTeammates,totalDamageTaken,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win
12AssistStreakCount,2,0,0,0.0,8893,12,25,Morgana,0,9,1207,1290,1207,5321,11,5,1,0,False,False,False,False,False,False,8177,7450,UTILITY,0,0,2,3157,3853,2055,6653,0,3158,3364,25,1,4,BOTTOM,0,2,2,400,12944,6548,11329,0,0,1,0,0,0,2,0,,1681,779,3670,4803,FQ9fpaVnVK7Q4OcDkNzuIcxxLR0bGOJH6L02e-qvYM6hKAg75JcASzTD7aQ9ALn3-Zxh8wNOODnocw,0,,,SUPPORT,0,27,20,13,5,4,4,3,3,3XXCcP0hJq820pl6c0SJzkK5vFmY07KL3YmgRY5BEk56ogQ,224,VoidBBlade,False,100,UTILITY,29,2192,14677,7378,1020,15842,435,0,15,55,265,1,0,50,50,842,0,1,9,0,69,7,10,26,False
abilityUses,2,0,0,65.0,8893,12,25,Morgana,0,9,1207,1290,1207,5321,11,5,1,0,False,False,False,False,False,False,8177,7450,UTILITY,0,0,2,3157,3853,2055,6653,0,3158,3364,25,1,4,BOTTOM,0,2,2,400,12944,6548,11329,0,0,1,0,0,0,2,0,,1681,779,3670,4803,FQ9fpaVnVK7Q4OcDkNzuIcxxLR0bGOJH6L02e-qvYM6hKAg75JcASzTD7aQ9ALn3-Zxh8wNOODnocw,0,,,SUPPORT,0,27,20,13,5,4,4,3,3,3XXCcP0hJq820pl6c0SJzkK5vFmY07KL3YmgRY5BEk56ogQ,224,VoidBBlade,False,100,UTILITY,29,2192,14677,7378,1020,15842,435,0,15,55,265,1,0,50,50,842,0,1,9,0,69,7,10,26,False
acesBefore15Minutes,2,0,0,0.0,8893,12,25,Morgana,0,9,1207,1290,1207,5321,11,5,1,0,False,False,False,False,False,False,8177,7450,UTILITY,0,0,2,3157,3853,2055,6653,0,3158,3364,25,1,4,BOTTOM,0,2,2,400,12944,6548,11329,0,0,1,0,0,0,2,0,,1681,779,3670,4803,FQ9fpaVnVK7Q4OcDkNzuIcxxLR0bGOJH6L02e-qvYM6hKAg75JcASzTD7aQ9ALn3-Zxh8wNOODnocw,0,,,SUPPORT,0,27,20,13,5,4,4,3,3,3XXCcP0hJq820pl6c0SJzkK5vFmY07KL3YmgRY5BEk56ogQ,224,VoidBBlade,False,100,UTILITY,29,2192,14677,7378,1020,15842,435,0,15,55,265,1,0,50,50,842,0,1,9,0,69,7,10,26,False
alliedJungleMonsterKills,2,0,0,0.0,8893,12,25,Morgana,0,9,1207,1290,1207,5321,11,5,1,0,False,False,False,False,False,False,8177,7450,UTILITY,0,0,2,3157,3853,2055,6653,0,3158,3364,25,1,4,BOTTOM,0,2,2,400,12944,6548,11329,0,0,1,0,0,0,2,0,,1681,779,3670,4803,FQ9fpaVnVK7Q4OcDkNzuIcxxLR0bGOJH6L02e-qvYM6hKAg75JcASzTD7aQ9ALn3-Zxh8wNOODnocw,0,,,SUPPORT,0,27,20,13,5,4,4,3,3,3XXCcP0hJq820pl6c0SJzkK5vFmY07KL3YmgRY5BEk56ogQ,224,VoidBBlade,False,100,UTILITY,29,2192,14677,7378,1020,15842,435,0,15,55,265,1,0,50,50,842,0,1,9,0,69,7,10,26,False
baronTakedowns,2,0,0,0.0,8893,12,25,Morgana,0,9,1207,1290,1207,5321,11,5,1,0,False,False,False,False,False,False,8177,7450,UTILITY,0,0,2,3157,3853,2055,6653,0,3158,3364,25,1,4,BOTTOM,0,2,2,400,12944,6548,11329,0,0,1,0,0,0,2,0,,1681,779,3670,4803,FQ9fpaVnVK7Q4OcDkNzuIcxxLR0bGOJH6L02e-qvYM6hKAg75JcASzTD7aQ9ALn3-Zxh8wNOODnocw,0,,,SUPPORT,0,27,20,13,5,4,4,3,3,3XXCcP0hJq820pl6c0SJzkK5vFmY07KL3YmgRY5BEk56ogQ,224,VoidBBlade,False,100,UTILITY,29,2192,14677,7378,1020,15842,435,0,15,55,265,1,0,50,50,842,0,1,9,0,69,7,10,26,False
blastConeOppositeOpponentCount,2,0,0,0.0,8893,12,25,Morgana,0,9,1207,1290,1207,5321,11,5,1,0,False,False,False,False,False,False,8177,7450,UTILITY,0,0,2,3157,3853,2055,6653,0,3158,3364,25,1,4,BOTTOM,0,2,2,400,12944,6548,11329,0,0,1,0,0,0,2,0,,1681,779,3670,4803,FQ9fpaVnVK7Q4OcDkNzuIcxxLR0bGOJH6L02e-qvYM6hKAg75JcASzTD7aQ9ALn3-Zxh8wNOODnocw,0,,,SUPPORT,0,27,20,13,5,4,4,3,3,3XXCcP0hJq820pl6c0SJzkK5vFmY07KL3YmgRY5BEk56ogQ,224,VoidBBlade,False,100,UTILITY,29,2192,14677,7378,1020,15842,435,0,15,55,265,1,0,50,50,842,0,1,9,0,69,7,10,26,False
bountyGold,2,0,0,0.0,8893,12,25,Morgana,0,9,1207,1290,1207,5321,11,5,1,0,False,False,False,False,False,False,8177,7450,UTILITY,0,0,2,3157,3853,2055,6653,0,3158,3364,25,1,4,BOTTOM,0,2,2,400,12944,6548,11329,0,0,1,0,0,0,2,0,,1681,779,3670,4803,FQ9fpaVnVK7Q4OcDkNzuIcxxLR0bGOJH6L02e-qvYM6hKAg75JcASzTD7aQ9ALn3-Zxh8wNOODnocw,0,,,SUPPORT,0,27,20,13,5,4,4,3,3,3XXCcP0hJq820pl6c0SJzkK5vFmY07KL3YmgRY5BEk56ogQ,224,VoidBBlade,False,100,UTILITY,29,2192,14677,7378,1020,15842,435,0,15,55,265,1,0,50,50,842,0,1,9,0,69,7,10,26,False
buffsStolen,2,0,0,0.0,8893,12,25,Morgana,0,9,1207,1290,1207,5321,11,5,1,0,False,False,False,False,False,False,8177,7450,UTILITY,0,0,2,3157,3853,2055,6653,0,3158,3364,25,1,4,BOTTOM,0,2,2,400,12944,6548,11329,0,0,1,0,0,0,2,0,,1681,779,3670,4803,FQ9fpaVnVK7Q4OcDkNzuIcxxLR0bGOJH6L02e-qvYM6hKAg75JcASzTD7aQ9ALn3-Zxh8wNOODnocw,0,,,SUPPORT,0,27,20,13,5,4,4,3,3,3XXCcP0hJq820pl6c0SJzkK5vFmY07KL3YmgRY5BEk56ogQ,224,VoidBBlade,False,100,UTILITY,29,2192,14677,7378,1020,15842,435,0,15,55,265,1,0,50,50,842,0,1,9,0,69,7,10,26,False
completeSupportQuestInTime,2,0,0,1.0,8893,12,25,Morgana,0,9,1207,1290,1207,5321,11,5,1,0,False,False,False,False,False,False,8177,7450,UTILITY,0,0,2,3157,3853,2055,6653,0,3158,3364,25,1,4,BOTTOM,0,2,2,400,12944,6548,11329,0,0,1,0,0,0,2,0,,1681,779,3670,4803,FQ9fpaVnVK7Q4OcDkNzuIcxxLR0bGOJH6L02e-qvYM6hKAg75JcASzTD7aQ9ALn3-Zxh8wNOODnocw,0,,,SUPPORT,0,27,20,13,5,4,4,3,3,3XXCcP0hJq820pl6c0SJzkK5vFmY07KL3YmgRY5BEk56ogQ,224,VoidBBlade,False,100,UTILITY,29,2192,14677,7378,1020,15842,435,0,15,55,265,1,0,50,50,842,0,1,9,0,69,7,10,26,False
controlWardTimeCoverageInRiverOrEnemyHalf,2,0,0,0.10512902084338513,8893,12,25,Morgana,0,9,1207,1290,1207,5321,11,5,1,0,False,False,False,False,False,False,8177,7450,UTILITY,0,0,2,3157,3853,2055,6653,0,3158,3364,25,1,4,BOTTOM,0,2,2,400,12944,6548,11329,0,0,1,0,0,0,2,0,,1681,779,3670,4803,FQ9fpaVnVK7Q4OcDkNzuIcxxLR0bGOJH6L02e-qvYM6hKAg75JcASzTD7aQ9ALn3-Zxh8wNOODnocw,0,,,SUPPORT,0,27,20,13,5,4,4,3,3,3XXCcP0hJq820pl6c0SJzkK5vFmY07KL3YmgRY5BEk56ogQ,224,VoidBBlade,False,100,UTILITY,29,2192,14677,7378,1020,15842,435,0,15,55,265,1,0,50,50,842,0,1,9,0,69,7,10,26,False
controlWardsPlaced,2,0,0,5.0,8893,12,25,Morgana,0,9,1207,1290,1207,5321,11,5,1,0,False,False,False,False,False,False,8177,7450,UTILITY,0,0,2,3157,3853,2055,6653,0,3158,3364,25,1,4,BOTTOM,0,2,2,400,12944,6548,11329,0,0,1,0,0,0,2,0,,1681,779,3670,4803,FQ9fpaVnVK7Q4OcDkNzuIcxxLR0bGOJH6L02e-qvYM6hKAg75JcASzTD7aQ9ALn3-Zxh8wNOODnocw,0,,,SUPPORT,0,27,20,13,5,4,4,3,3,3XXCcP0hJq820pl6c0SJzkK5vFmY07KL3YmgRY5BEk56ogQ,224,VoidBBlade,False,100,UTILITY,29,2192,14677,7378,1020,15842,435,0,15,55,265,1,0,50,50,842,0,1,9,0,69,7,10,26,False
damagePerMinute,2,0,0,401.6360258616307,8893,12,25,Morgana,0,9,1207,1290,1207,5321,11,5,1,0,False,False,False,False,False,False,8177,7450,UTILITY,0,0,2,3157,3853,2055,6653,0,3158,3364,25,1,4,BOTTOM,0,2,2,400,12944,6548,11329,0,0,1,0,0,0,2,0,,1681,779,3670,4803,FQ9fpaVnVK7Q4OcDkNzuIcxxLR0bGOJH6L02e-qvYM6hKAg75JcASzTD7aQ9ALn3-Zxh8wNOODnocw,0,,,SUPPORT,0,27,20,13,5,4,4,3,3,3XXCcP0hJq820pl6c0SJzkK5vFmY07KL3YmgRY5BEk56ogQ,224,VoidBBlade,False,100,UTILITY,29,2192,14677,7378,1020,15842,435,0,15,55,265,1,0,50,50,842,0,1,9,0,69,7,10,26,False
damageTakenOnTeamPercentage,2,0,0,0.11236584265015939,8893,12,25,Morgana,0,9,1207,1290,1207,5321,11,5,1,0,False,False,False,False,False,False,8177,7450,UTILITY,0,0,2,3157,3853,2055,6653,0,3158,3364,25,1,4,BOTTOM,0,2,2,400,12944,6548,11329,0,0,1,0,0,0,2,0,,1681,779,3670,4803,FQ9fpaVnVK7Q4OcDkNzuIcxxLR0bGOJH6L02e-qvYM6hKAg75JcASzTD7aQ9ALn3-Zxh8wNOODnocw,0,,,SUPPORT,0,27,20,13,5,4,4,3,3,3XXCcP0hJq820pl6c0SJzkK5vFmY07KL3YmgRY5BEk56ogQ,224,VoidBBlade,False,100,UTILITY,29,2192,14677,7378,1020,15842,435,0,15,55,265,1,0,50,50,842,0,1,9,0,69,7,10,26,False
dancedWithRiftHerald,2,0,0,0.0,8893,12,25,Morgana,0,9,1207,1290,1207,5321,11,5,1,0,False,False,False,False,False,False,8177,7450,UTILITY,0,0,2,3157,3853,2055,6653,0,3158,3364,25,1,4,BOTTOM,0,2,2,400,12944,6548,11329,0,0,1,0,0,0,2,0,,1681,779,3670,4803,FQ9fpaVnVK7Q4OcDkNzuIcxxLR0bGOJH6L02e-qvYM6hKAg75JcASzTD7aQ9ALn3-Zxh8wNOODnocw,0,,,SUPPORT,0,27,20,13,5,4,4,3,3,3XXCcP0hJq820pl6c0SJzkK5vFmY07KL3YmgRY5BEk56ogQ,224,VoidBBlade,False,100,UTILITY,29,2192,14677,7378,1020,15842,435,0,15,55,265,1,0,50,50,842,0,1,9,0,69,7,10,26,False
deathsByEnemyChamps,2,0,0,11.0,8893,12,25,Morgana,0,9,1207,1290,1207,5321,11,5,1,0,False,False,False,False,False,False,8177,7450,UTILITY,0,0,2,3157,3853,2055,6653,0,3158,3364,25,1,4,BOTTOM,0,2,2,400,12944,6548,11329,0,0,1,0,0,0,2,0,,1681,779,3670,4803,FQ9fpaVnVK7Q4OcDkNzuIcxxLR0bGOJH6L02e-qvYM6hKAg75JcASzTD7aQ9ALn3-Zxh8wNOODnocw,0,,,SUPPORT,0,27,20,13,5,4,4,3,3,3XXCcP0hJq820pl6c0SJzkK5vFmY07KL3YmgRY5BEk56ogQ,224,VoidBBlade,False,100,UTILITY,29,2192,14677,7378,1020,15842,435,0,15,55,265,1,0,50,50,842,0,1,9,0,69,7,10,26,False
dodgeSkillShotsSmallWindow,2,0,0,41.0,8893,12,25,Morgana,0,9,1207,1290,1207,5321,11,5,1,0,False,False,False,False,False,False,8177,7450,UTILITY,0,0,2,3157,3853,2055,6653,0,3158,3364,25,1,4,BOTTOM,0,2,2,400,12944,6548,11329,0,0,1,0,0,0,2,0,,1681,779,3670,4803,FQ9fpaVnVK7Q4OcDkNzuIcxxLR0bGOJH6L02e-qvYM6hKAg75JcASzTD7aQ9ALn3-Zxh8wNOODnocw,0,,,SUPPORT,0,27,20,13,5,4,4,3,3,3XXCcP0hJq820pl6c0SJzkK5vFmY07KL3YmgRY5BEk56ogQ,224,VoidBBlade,False,100,UTILITY,29,2192,14677,7378,1020,15842,435,0,15,55,265,1,0,50,50,842,0,1,9,0,69,7,10,26,False
